Order,Family,Genus,Species,SVLMMx,SVLFMx,SVLMx,Longevity,NestingSite,ClutchMin,ClutchMax,Clutch,ParityMode,EggDiameter,Activity,Microhabitat,GeographicRegion,IUCN,PopTrend,RangeSize,ElevationMin,ElevationMax,Elevation
Anura,Allophrynidae,Allophryne,relicta,21.9,,21.9,,,,,,,,Nocturnal,Bushes/Trees,South America,,,,90.0,90.0,90.0
Anura,Allophrynidae,Allophryne,resplendens,,28.4,28.4,,,,,,,,,Bushes/Trees,South America,,,,78.0,120.0,99.0
Anura,Allophrynidae,Allophryne,ruthveni,25.0,27.5,31.0,,Vegetation,300.0,300.0,300.0,Larval,1.0,Cathemeral,Bushes/Trees,South America,LC,Decreasing,2831429.70859,0.0,300.0,150.0
Anura,Alsodidae,Alsodes,australis,,,63.0,,,,,,Larval,,,Semi-aquatic,South America,DD,,7833.26157373,250.0,250.0,250.0
Anura,Alsodidae,Alsodes,barrioi,,,60.0,,,,,,Larval,,,Semi-aquatic,South America,EN,Stable,1473.09047755,1000.0,1500.0,1250.0
Anura,Alsodidae,Alsodes,cantillanensis,45.9,44.2,45.9,,,,,,,,Nocturnal,Semi-aquatic,South America,CR,,19.0876340197,850.0,850.0,850.0
Anura,Alsodidae,Alsodes,coppingeri,44.0,43.7,57.0,,,,,,,,,,South America,DD,,,0.0,300.0,150.0
Anura,Alsodidae,Alsodes,gargola,,,50.0,,,30.0,40.0,35.0,Larval,3.3,,Semi-aquatic,South America,LC,Stable,12341.1459914,200.0,2200.0,1200.0
Anura,Alsodidae,Alsodes,hugoi,69.0,70.7,70.7,,,,,,Larval,,,Semi-aquatic,South America,VU,,127.148077792,900.0,900.0,900.0
Anura,Alsodidae,Alsodes,igneus,46.1,66.6,67.0,,,,,,Larval,,,Semi-aquatic,South America,VU,Decreasing,38.0523780139,900.0,950.0,925.0
Anura,Alsodidae,Alsodes,kaweshkari,,,62.2,,,,,,Larval,,,Semi-aquatic,South America,DD,,136.195169375,0.0,10.0,5.0
Anura,Alsodidae,Alsodes,montanus,,,52.0,,,,,,,,,,South America,VU,Decreasing,5783.35344536,1300.0,2600.0,1950.0
Anura,Alsodidae,Alsodes,monticola,,,49.1,,,,,,Larval,,,Semi-aquatic,South America,DD,,85.5916881712,,,
Anura,Alsodidae,Alsodes,neuquensis,,,50.0,,,,,,,,,Semi-aquatic,South America,EN,Decreasing,,1500.0,1500.0,1500.0
Anura,Alsodidae,Alsodes,nodosus,,,75.0,,,50.0,60.0,55.0,Larval,3.4,,Semi-aquatic,South America,NT,Decreasing,8809.44529646,150.0,1500.0,825.0
Anura,Alsodidae,Alsodes,norae,61.4,35.8,61.4,,,,,,,,,,South America,EN,Decreasing,3.72594412368,400.0,720.0,560.0
Anura,Alsodidae,Alsodes,pehuenche,58.0,65.0,65.0,,,,,,Larval,,,Aquatic,South America,CR,Decreasing,10.1945036788,2000.0,2500.0,2250.0
Anura,Alsodidae,Alsodes,tumultuosus,,,61.5,,,,,,Larval,,,Semi-aquatic,South America,VU,,57.4552779008,2000.0,3000.0,2500.0
Anura,Alsodidae,Alsodes,valdiviensis,,,63.4,,,,,,Larval,,,Semi-aquatic,South America,EN,Decreasing,906.780507709,1100.0,1200.0,1150.0
Anura,Alsodidae,Alsodes,vanzolinii,52.2,54.4,54.4,,,,,,Larval,2.33,Nocturnal,Terrestrial,South America,EN,Decreasing,9.92335723313,50.0,700.0,375.0
Anura,Alsodidae,Alsodes,verrucosus,,,55.0,,,,,,Larval,,,Terrestrial,South America,EN,Decreasing,969.954698853,500.0,1000.0,750.0
Anura,Alsodidae,Alsodes,vittatus,,,39.9,,,,,,,,,,South America,DD,,200.806342435,1000.0,1000.0,1000.0
Anura,Alsodidae,Eupsophus,altor,36.6,,36.6,,Burrow,17.0,30.0,23.5,,5.6,Nocturnal,Terrestrial,South America,,,,650.0,650.0,650.0
Anura,Alsodidae,Eupsophus,calcaratus,,,36.0,,,,,,Larval,,,Terrestrial,South America,LC,Decreasing,199995.028594,10.0,1300.0,655.0
Anura,Alsodidae,Eupsophus,contulmoensis,,,43.0,,Burrow,,,,Larval,,Nocturnal,Terrestrial,South America,EN,,5128.99561779,50.0,350.0,200.0
Anura,Alsodidae,Eupsophus,emiliopugini,,,51.25,,,88.0,88.0,88.0,Larval,6.95,,Semi-aquatic,South America,LC,Decreasing,78474.6077937,0.0,1500.0,750.0
Anura,Alsodidae,Eupsophus,insularis,,,41.0,,,,,,Larval,,,Semi-aquatic,South America,CR,Decreasing,62.2363974839,50.0,250.0,150.0
Anura,Alsodidae,Eupsophus,migueli,,,47.2,,Burrow,,,,Larval,,,Semi-aquatic,South America,EN,Decreasing,78.7633800886,5.0,80.0,42.5
Anura,Alsodidae,Eupsophus,nahuelbutensis,,,38.0,,,,,,Larval,,,Semi-aquatic,South America,EN,Stable,3164.5841,100.0,1500.0,800.0
Anura,Alsodidae,Eupsophus,roseus,43.0,51.0,67.0,,Burrow,,,,Larval,,Nocturnal,Terrestrial,South America/Chiloe/Chonos Island,LC,Decreasing,22401.1844091,13.0,980.0,496.5
Anura,Alsodidae,Eupsophus,septentrionalis,41.65,47.3,47.3,,Burrow,,,,Larval,,,Semi-aquatic,South America,DD,,264.986649764,427.0,469.0,448.0
Anura,Alsodidae,Eupsophus,vertebralis,,,55.0,,Burrow,,,,Larval,,,Semi-aquatic,South America,LC,Decreasing,29271.0658895,50.0,1000.0,525.0
Anura,Alsodidae,Limnomedusa,macroglossa,65.0,63.0,65.0,,Water,396.0,400.0,398.0,Larval,1.27,Nocturnal,Semi-aquatic,South America,LC,Stable,507311.384163,0.0,1200.0,600.0
Anura,Alytidae,Alytes,cisternasii,,,50.0,6.0,Parent Body,20.0,200.0,110.0,Larval,3.41666666666667,Nocturnal,Terrestrial,Europe,LC,Decreasing,169878.685294,100.0,1800.0,950.0
Anura,Alytidae,Alytes,dickhilleni,,,57.0,9.0,Parent Body,38.0,149.0,93.5,Larval,3.9,Nocturnal,Terrestrial,Europe,VU,Decreasing,30326.3437773,340.0,2140.0,1240.0
Anura,Alytidae,Alytes,maurus,55.0,57.0,57.0,,,25.0,60.0,42.5,Larval,4.0,Cathemeral,Terrestrial,Africa,NT,Stable,4999.87443876,200.0,2150.0,1175.0
Anura,Alytidae,Alytes,muletensis,35.0,38.0,40.0,7.0,Parent Body,4.0,24.0,14.0,Larval,5.9,Nocturnal,Semi-aquatic,Mallorca,EN,Increasing,228.409746166,10.0,850.0,430.0
Anura,Alytidae,Alytes,obstetricans,,,55.0,7.0,Parent Body,20.0,171.0,95.5,Larval,3.975,Nocturnal,Terrestrial,Europe,LC,Decreasing,1035503.51335,0.0,2400.0,1200.0
Anura,Alytidae,Discoglossus,galganoi,,,80.0,10.0,Water,300.0,1520.0,910.0,Larval,1.8125,Cathemeral,,Europe,LC,Decreasing,304372.927596,0.0,1600.0,800.0
Anura,Alytidae,Discoglossus,jeanneae,,,60.0,,Water,1500.0,1500.0,1500.0,Larval,,Cathemeral,,Europe,NT,Decreasing,188076.620473,0.0,2050.0,1025.0
Anura,Alytidae,Discoglossus,montalentii,,,65.0,,Water,1000.0,1000.0,1000.0,Larval,1.5,Cathemeral,,Corsica,NT,Decreasing,4210.4490217,300.0,1900.0,1100.0
Anura,Alytidae,Discoglossus,pictus,72.3,73.0,80.0,9.0,Water,20.0,5636.0,2828.0,Larval,1.434375,Cathemeral,Semi-aquatic,Europe/Africa/Sicily/Malta,LC,Stable,227679.000695,0.0,1700.0,850.0
Anura,Alytidae,Discoglossus,sardus,,,70.0,,Water,1000.0,1000.0,1000.0,Larval,1.375,Cathemeral,,Sardinia/Corsica,LC,Decreasing,33195.3974161,0.0,1770.0,885.0
Anura,Alytidae,Discoglossus,scovazzi,70.0,66.0,80.0,,Water,100.0,1000.0,550.0,Larval,1.5,Nocturnal,Semi-aquatic,Europe/Africa,LC,Stable,173775.213424,0.0,2724.0,1362.0
Anura,Alytidae,Latonia,nigriventer,,,70.0,,,,,,Larval,,,,Israel,CR,,4.46406440638,50.0,70.0,60.0
Anura,Aromobatidae,Prostherapis,dunni,20.0,25.0,25.5,,,,,,Larval,,,Semi-aquatic,South America,CR,,279.112774738,800.0,1520.0,1160.0
Anura,Aromobatidae,Allobates,alessandroi,22.1,,22.1,,,,,,Larval,,Diurnal,Terrestrial,South America,EN,Decreasing,1271.38694301,820.0,1480.0,1150.0
Anura,Aromobatidae,Allobates,algorei,19.5,18.0,19.5,,,,,,,,Cathemeral,Terrestrial,South America,LC,Stable,2968.59730732,400.0,1185.0,792.5
Anura,Aromobatidae,Allobates,amissibilis,17.5,17.8,17.8,,,,,,,,,Terrestrial,South America,VU,Decreasing,,160.0,950.0,555.0
Anura,Aromobatidae,Allobates,bacurau,14.7,14.9,14.9,,,,,,,,,,South America,LC,,,50.0,70.0,60.0
Anura,Aromobatidae,Allobates,bromelicola,14.7,,20.1,,,,,,Larval,1.7,,Bushes/Trees,South America,VU,,47.8358719996,1310.0,1375.0,1342.5
Anura,Aromobatidae,Allobates,brunneus,18.3,19.8,24.0,,Vegetation,17.0,17.0,17.0,Larval,,Diurnal,Semi-aquatic,South America,LC,,1790390.50608,80.0,1471.0,775.5
Anura,Aromobatidae,Allobates,caeruleodactylus,,,17.4,,,,,,Larval,,Crepuscular,Terrestrial,South America,DD,,1637.98509024,50.0,50.0,50.0
Anura,Aromobatidae,Allobates,caribe,,,20.8,,,,,,,,,Terrestrial,South America,CR,Decreasing,31.324014869,1050.0,1050.0,1050.0
Anura,Aromobatidae,Allobates,cepedai,,,,,,,,,Larval,,,Terrestrial,South America,VU,Decreasing,18.9157634857,450.0,1120.0,785.0
Anura,Aromobatidae,Allobates,chalcopis,17.4,18.4,18.4,,,,,,Larval,,Crepuscular,Terrestrial,Martinique Island,VU,Stable,3.04928037478,800.0,1400.0,1100.0
Anura,Aromobatidae,Allobates,conspicuus,16.5,17.2,19.5,,,,,,Larval,,,Terrestrial,South America,DD,,346427.482115,250.0,250.0,250.0
Anura,Aromobatidae,Allobates,crombiei,19.0,,19.0,,Terrestrial,,,,Larval,,,Terrestrial,South America,DD,,11950.435474,10.0,10.0,10.0
Anura,Aromobatidae,Allobates,femoralis,33.0,35.0,36.0,6.0,Terrestrial,8.0,48.0,28.0,Larval,1.8125,Diurnal,Terrestrial,South America,LC,Stable,5232863.61568,200.0,1000.0,600.0
Anura,Aromobatidae,Allobates,flaviventris,19.7,21.1,21.1,,Terrestrial,,,,,,,Terrestrial,South America,,,,150.0,174.0,162.0
Anura,Aromobatidae,Allobates,fratisenescus,19.5,19.7,21.2,,,,,,Larval,,,Terrestrial,South America,DD,,129.915398831,600.0,1100.0,850.0
Anura,Aromobatidae,Allobates,fuscellus,,,,,,,,,Larval,,,Terrestrial,South America,DD,,632560.40361,60.0,250.0,155.0
Anura,Aromobatidae,Allobates,gasconi,,,,,Terrestrial,,,,Larval,,,Terrestrial,South America,DD,,91054.2532788,100.0,250.0,175.0
Anura,Aromobatidae,Allobates,goianus,,,,,Terrestrial,,,,Larval,,,Terrestrial,South America,DD,,25020.0518434,1500.0,1500.0,1500.0
Anura,Aromobatidae,Allobates,granti,16.7,18.4,18.4,,Terrestrial,9.0,9.0,9.0,Larval,1.05,Diurnal,Terrestrial,South America,LC,,30290.4536999,100.0,730.0,415.0
Anura,Aromobatidae,Allobates,grillisimilis,,16.0,16.0,,Terrestrial,6.0,13.0,9.5,,,,,South America,,,,46.0,46.0,46.0
Anura,Aromobatidae,Allobates,hodli,,,28.1,,,,,,,,Nocturnal,Semi-aquatic,South America,,,,90.0,90.0,90.0
Anura,Aromobatidae,Allobates,humilis,,,21.8,,,,,,Larval,,,Terrestrial,South America,EN,Stable,490.500720875,1100.0,1470.0,1285.0
Anura,Aromobatidae,Allobates,ignotus,,,,,,,,,,,,,South America,EN,Decreasing,,194.0,1236.0,715.0
Anura,Aromobatidae,Allobates,insperatus,16.7,18.4,18.4,,Terrestrial,7.0,27.0,17.0,,,Diurnal,Terrestrial,South America,LC,Stable,14995.3383257,250.0,570.0,410.0
Anura,Aromobatidae,Allobates,juami,18.2,18.5,18.5,,,,,,,,,Terrestrial,South America,,,,87.0,87.0,87.0
Anura,Aromobatidae,Allobates,juanii,,,24.3,,Terrestrial,,,,Larval,,Diurnal,Terrestrial,South America,EN,Decreasing,62.6803292749,467.0,467.0,467.0
Anura,Aromobatidae,Allobates,kingsburyi,20.3,22.2,26.2,,,11.0,24.0,17.5,Larval,,Diurnal,Terrestrial,South America,EN,Decreasing,1317.58660335,1140.0,1300.0,1220.0
Anura,Aromobatidae,Allobates,magnussoni,19.59,20.84,20.84,,Terrestrial,,,,,,Diurnal,Terrestrial,South America,,,,132.0,132.0,132.0
Anura,Aromobatidae,Allobates,mandelorum,,,26.0,,Terrestrial,,,,Larval,,,Terrestrial,South America,EN,,522.659314454,1900.0,2630.0,2265.0
Anura,Aromobatidae,Allobates,marchesianus,20.0,20.01,20.01,,,7.0,27.0,17.0,Larval,1.75,Cathemeral,,South America,LC,Stable,3159218.18472,0.0,800.0,400.0
Anura,Aromobatidae,Allobates,masniger,19.5,,19.5,,Terrestrial,,,,Larval,,,Terrestrial,South America,DD,,9661.76931641,100.0,100.0,100.0
Anura,Aromobatidae,Allobates,mcdiarmidi,24.3,,24.3,,,,,,Larval,,Diurnal,Terrestrial,South America,CR,Decreasing,31935.380872,1690.0,1700.0,1695.0
Anura,Aromobatidae,Allobates,melanolaemus,23.4,23.6,23.6,,,,,,Larval,,Diurnal,Terrestrial,South America,LC,,7868.36207129,100.0,120.0,110.0
