Order,Family,Genus,Species,SVLMMx,SVLFMx,SVLMx,Longevity,NestingSite,ClutchMin,ClutchMax,Clutch,ParityMode,EggDiameter,Activity,Microhabitat,GeographicRegion,IUCN,PopTrend,RangeSize,ElevationMin,ElevationMax,Elevation
Anura,Allophrynidae,Allophryne,relicta,21.9,,21.9,,,,,,,,Nocturnal,Bushes/Trees,South America,,,,90,90,90
Anura,Allophrynidae,Allophryne,resplendens,,28.4,28.4,,,,,,,,,Bushes/Trees,South America,,,,78,120,99
Anura,Allophrynidae,Allophryne,ruthveni,25,27.5,31,,Vegetation,300,300,300,Larval,1,Cathemeral,Bushes/Trees,South America,LC,Decreasing,2831429.7085900000000000,0,300,150
Anura,Alsodidae,Alsodes,australis,,,63,,,,,,Larval,,,Semi-aquatic,South America,DD,,7833.2615737300000000,250,250,250
Anura,Alsodidae,Alsodes,barrioi,,,60,,,,,,Larval,,,Semi-aquatic,South America,EN,Stable,1473.0904775500000000,1000,1500,1250
Anura,Alsodidae,Alsodes,cantillanensis,45.9,44.2,45.9,,,,,,,,Nocturnal,Semi-aquatic,South America,CR,,19.0876340197000000,850,850,850
Anura,Alsodidae,Alsodes,coppingeri,44,43.7,57,,,,,,,,,,South America,DD,,,0,300,150
Anura,Alsodidae,Alsodes,gargola,,,50,,,30,40,35,Larval,3.3,,Semi-aquatic,South America,LC,Stable,12341.1459914000000000,200,2200,1200
Anura,Alsodidae,Alsodes,hugoi,69,70.7,70.7,,,,,,Larval,,,Semi-aquatic,South America,VU,,127.1480777920000000,900,900,900
Anura,Alsodidae,Alsodes,igneus,46.1,66.6,67,,,,,,Larval,,,Semi-aquatic,South America,VU,Decreasing,38.0523780139000000,900,950,925
Anura,Alsodidae,Alsodes,kaweshkari,,,62.2,,,,,,Larval,,,Semi-aquatic,South America,DD,,136.1951693750000000,0,10,5
Anura,Alsodidae,Alsodes,montanus,,,52,,,,,,,,,,South America,VU,Decreasing,5783.3534453600000000,1300,2600,1950
Anura,Alsodidae,Alsodes,monticola,,,49.1,,,,,,Larval,,,Semi-aquatic,South America,DD,,85.5916881712000000,,,
Anura,Alsodidae,Alsodes,neuquensis,,,50,,,,,,,,,Semi-aquatic,South America,EN,Decreasing,,1500,1500,1500
Anura,Alsodidae,Alsodes,nodosus,,,75,,,50,60,55,Larval,3.4,,Semi-aquatic,South America,NT,Decreasing,8809.4452964600000000,150,1500,825
Anura,Alsodidae,Alsodes,norae,61.4,35.8,61.4,,,,,,,,,,South America,EN,Decreasing,3.7259441236800000,400,720,560
Anura,Alsodidae,Alsodes,pehuenche,58,65,65,,,,,,Larval,,,Aquatic,South America,CR,Decreasing,10.1945036788000000,2000,2500,2250
Anura,Alsodidae,Alsodes,tumultuosus,,,61.5,,,,,,Larval,,,Semi-aquatic,South America,VU,,57.4552779008000000,2000,3000,2500
Anura,Alsodidae,Alsodes,valdiviensis,,,63.4,,,,,,Larval,,,Semi-aquatic,South America,EN,Decreasing,906.7805077090000000,1100,1200,1150
Anura,Alsodidae,Alsodes,vanzolinii,52.2,54.4,54.4,,,,,,Larval,2.33,Nocturnal,Terrestrial,South America,EN,Decreasing,9.9233572331300000,50,700,375
Anura,Alsodidae,Alsodes,verrucosus,,,55,,,,,,Larval,,,Terrestrial,South America,EN,Decreasing,969.9546988530000000,500,1000,750
Anura,Alsodidae,Alsodes,vittatus,,,39.9,,,,,,,,,,South America,DD,,200.8063424350000000,1000,1000,1000
Anura,Alsodidae,Eupsophus,altor,36.6,,36.6,,Burrow,17,30,23.5,,5.6,Nocturnal,Terrestrial,South America,,,,650,650,650
Anura,Alsodidae,Eupsophus,calcaratus,,,36,,,,,,Larval,,,Terrestrial,South America,LC,Decreasing,199995.0285940000000000,10,1300,655
Anura,Alsodidae,Eupsophus,contulmoensis,,,43,,Burrow,,,,Larval,,Nocturnal,Terrestrial,South America,EN,,5128.9956177900000000,50,350,200
Anura,Alsodidae,Eupsophus,emiliopugini,,,51.25,,,88,88,88,Larval,6.95,,Semi-aquatic,South America,LC,Decreasing,78474.6077937000000000,0,1500,750
Anura,Alsodidae,Eupsophus,insularis,,,41,,,,,,Larval,,,Semi-aquatic,South America,CR,Decreasing,62.2363974839000000,50,250,150
Anura,Alsodidae,Eupsophus,migueli,,,47.2,,Burrow,,,,Larval,,,Semi-aquatic,South America,EN,Decreasing,78.7633800886000000,5,80,42.5
Anura,Alsodidae,Eupsophus,nahuelbutensis,,,38,,,,,,Larval,,,Semi-aquatic,South America,EN,Stable,3164.5841000000000000,100,1500,800
Anura,Alsodidae,Eupsophus,roseus,43,51,67,,Burrow,,,,Larval,,Nocturnal,Terrestrial,South America/Chiloe/Chonos Island,LC,Decreasing,22401.1844091000000000,13,980,496.5
Anura,Alsodidae,Eupsophus,septentrionalis,41.65,47.3,47.3,,Burrow,,,,Larval,,,Semi-aquatic,South America,DD,,264.9866497640000000,427,469,448
Anura,Alsodidae,Eupsophus,vertebralis,,,55,,Burrow,,,,Larval,,,Semi-aquatic,South America,LC,Decreasing,29271.0658895000000000,50,1000,525
Anura,Alsodidae,Limnomedusa,macroglossa,65,63,65,,Water,396,400,398,Larval,1.27,Nocturnal,Semi-aquatic,South America,LC,Stable,507311.3841630000000000,0,1200,600
Anura,Alytidae,Alytes,cisternasii,,,50,6,Parent Body,20,200,110,Larval,3.41666666666667,Nocturnal,Terrestrial,Europe,LC,Decreasing,169878.6852940000000000,100,1800,950
Anura,Alytidae,Alytes,dickhilleni,,,57,9,Parent Body,38,149,93.5,Larval,3.9,Nocturnal,Terrestrial,Europe,VU,Decreasing,30326.3437773000000000,340,2140,1240
Anura,Alytidae,Alytes,maurus,55,57,57,,,25,60,42.5,Larval,4,Cathemeral,Terrestrial,Africa,NT,Stable,4999.8744387600000000,200,2150,1175
Anura,Alytidae,Alytes,muletensis,35,38,40,7,Parent Body,4,24,14,Larval,5.9,Nocturnal,Semi-aquatic,Mallorca,EN,Increasing,228.4097461660000000,10,850,430
Anura,Alytidae,Alytes,obstetricans,,,55,7,Parent Body,20,171,95.5,Larval,3.975,Nocturnal,Terrestrial,Europe,LC,Decreasing,1035503.5133500000000000,0,2400,1200
Anura,Alytidae,Discoglossus,galganoi,,,80,10,Water,300,1520,910,Larval,1.8125,Cathemeral,,Europe,LC,Decreasing,304372.9275960000000000,0,1600,800
Anura,Alytidae,Discoglossus,jeanneae,,,60,,Water,1500,1500,1500,Larval,,Cathemeral,,Europe,NT,Decreasing,188076.6204730000000000,0,2050,1025
Anura,Alytidae,Discoglossus,montalentii,,,65,,Water,1000,1000,1000,Larval,1.5,Cathemeral,,Corsica,NT,Decreasing,4210.4490217000000000,300,1900,1100
Anura,Alytidae,Discoglossus,pictus,72.3,73,80,9,Water,20,5636,2828,Larval,1.434375,Cathemeral,Semi-aquatic,Europe/Africa/Sicily/Malta,LC,Stable,227679.0006950000000000,0,1700,850
Anura,Alytidae,Discoglossus,sardus,,,70,,Water,1000,1000,1000,Larval,1.375,Cathemeral,,Sardinia/Corsica,LC,Decreasing,33195.3974161000000000,0,1770,885
Anura,Alytidae,Discoglossus,scovazzi,70,66,80,,Water,100,1000,550,Larval,1.5,Nocturnal,Semi-aquatic,Europe/Africa,LC,Stable,173775.2134240000000000,0,2724,1362
Anura,Alytidae,Latonia,nigriventer,,,70,,,,,,Larval,,,,Israel,CR,,4.4640644063800000,50,70,60
Anura,Aromobatidae,Prostherapis,dunni,20,25,25.5,,,,,,Larval,,,Semi-aquatic,South America,CR,,279.1127747380000000,800,1520,1160
Anura,Aromobatidae,Allobates,alessandroi,22.1,,22.1,,,,,,Larval,,Diurnal,Terrestrial,South America,EN,Decreasing,1271.3869430100000000,820,1480,1150
Anura,Aromobatidae,Allobates,algorei,19.5,18,19.5,,,,,,,,Cathemeral,Terrestrial,South America,LC,Stable,2968.5973073200000000,400,1185,792.5
Anura,Aromobatidae,Allobates,amissibilis,17.5,17.8,17.8,,,,,,,,,Terrestrial,South America,VU,Decreasing,,160,950,555
Anura,Aromobatidae,Allobates,bacurau,14.7,14.9,14.9,,,,,,,,,,South America,LC,,,50,70,60
Anura,Aromobatidae,Allobates,bromelicola,14.7,,20.1,,,,,,Larval,1.7,,Bushes/Trees,South America,VU,,47.8358719996000000,1310,1375,1342.5
Anura,Aromobatidae,Allobates,brunneus,18.3,19.8,24,,Vegetation,17,17,17,Larval,,Diurnal,Semi-aquatic,South America,LC,,1790390.5060800000000000,80,1471,775.5
Anura,Aromobatidae,Allobates,caeruleodactylus,,,17.4,,,,,,Larval,,Crepuscular,Terrestrial,South America,DD,,1637.9850902400000000,50,50,50
Anura,Aromobatidae,Allobates,caribe,,,20.8,,,,,,,,,Terrestrial,South America,CR,Decreasing,31.3240148690000000,1050,1050,1050
Anura,Aromobatidae,Allobates,cepedai,,,,,,,,,Larval,,,Terrestrial,South America,VU,Decreasing,18.9157634857000000,450,1120,785
Anura,Aromobatidae,Allobates,chalcopis,17.4,18.4,18.4,,,,,,Larval,,Crepuscular,Terrestrial,Martinique Island,VU,Stable,3.0492803747800000,800,1400,1100
